S.No,States/UTs,Sunny/Clear - Total Accidents - Number,Sunny/Clear - Total Accidents - Rank,Sunny/Clear - Persons Killed - Number,Sunny/Clear - Persons Killed - Rank,Sunny/Clear - Persons Injured - Greviously Injured,Sunny/Clear - Persons Injured - Minor Injury,Sunny/Clear - Persons Injured - Total Injured,Rainy - Total Accidents,Rainy - Persons Killed,Rainy - Persons Injured - Greviously Injured,Rainy - Persons Injured - Minor Injury,Rainy - Persons Injured - Total Injured,Foggy & Misty - Total Accidents,Foggy & Misty - Persons Killed,Foggy & Misty - Persons Injured - Greviously Injured,Foggy & Misty - Persons Injured - Minor Injury,Foggy & Misty - Persons Injured - Total Injured,Hail/Sleet - Total Accidents,Hail/Sleet - Persons Killed,Hail/Sleet - Persons Injured - Greviously Injured,Hail/Sleet - Persons Injured - Minor Injury,Hail/Sleet - Persons Injured - Total Injured,Others - Total Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
1,Andhra Pradesh,19793,7,5880,9,4155,14306,18461,852,282,435,582,1017,1305,506,575,686,1261,55,28,10,35,45,2470,860,1292,1380,2672
2,Arunachal Pradesh,80,32,49,29,64,27,91,71,47,61,28,89,40,26,30,19,49,0,0,0,0,0,86,53,66,28,94
3,Assam,3891,16,1456,18,2969,508,3477,1555,525,1525,279,1804,1018,315,570,235,805,34,9,47,2,49,1750,661,853,387,1240
4,Bihar,5532,14,3966,10,3030,706,3736,1980,1276,1034,299,1333,2088,1487,1242,368,1610,0,0,0,0,0,0,0,0,0,0
5,Chhattisgarh,8132,11,2615,15,1420,5921,7341,1610,487,258,1127,1385,579,224,167,408,575,0,0,0,0,0,3543,1266,652,2762,3414
6,Goa,3482,19,239,23,332,1117,1449,227,23,14,86,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Gujarat,16941,10,7188,7,8587,7128,15715,1218,534,684,459,1143,610,274,341,268,609,0,0,0,0,0,0,0,0,0,0
8,Haryana,5489,15,2242,16,883,3928,4811,1484,680,299,1044,1343,1960,906,407,1328,1735,301,138,66,312,378,2004,1152,464,1289,1753
9,Himachal Pradesh,2716,21,1006,19,1262,3435,4697,168,95,75,353,428,212,100,93,294,387,4,1,1,11,12,10,6,2,25,27
10,Jammu & Kashmir,3876,17,616,22,2984,1830,4814,148,21,63,142,205,30,4,35,26,61,4,0,0,5,5,1920,343,1087,1673,2760
11,Jharkhand,2430,22,1629,17,1586,395,1981,837,514,459,127,586,511,331,280,78,358,273,197,164,49,213,1343,871,679,158,837
12,Karnataka,36518,2,9815,3,18374,26799,45173,3765,880,2068,2668,4736,1414,290,832,816,1648,10,5,3,2,5,0,0,0,0,0
13,Kerala,35096,4,3663,11,27746,11891,39637,4203,497,3251,1543,4794,882,143,675,352,1027,0,0,0,0,0,0,0,0,0,0
14,Madhya Pradesh,36312,3,7482,6,4098,34380,38478,4596,976,637,4468,5105,2336,522,434,2235,2669,237,59,56,343,399,7916,1667,865,7146,8011
15,Maharashtra,31243,5,11707,1,17779,9502,27281,3545,1249,1967,1128,3095,756,254,484,346,830,173,51,105,54,159,0,0,0,0,0
16,Manipur,334,26,90,27,201,369,570,102,13,36,149,185,80,9,27,117,144,10,0,0,29,29,75,22,38,76,114
17,Meghalaya,115,30,61,28,34,16,50,13,8,3,2,5,8,4,0,3,3,7,2,3,2,5,256,107,72,70,142
18,Mizoram,38,35,32,31,20,33,53,5,4,8,4,12,5,4,0,4,4,0,0,0,0,0,5,5,2,9,11
19,Nagaland,245,28,26,33,96,107,203,82,3,22,46,68,97,3,20,32,52,0,0,0,0,0,6,7,6,6,12
20,Orissa,5840,13,2714,13,3074,2899,5973,1974,925,1137,985,2122,1050,517,673,447,1120,277,104,216,86,302,2121,1055,1122,1155,2277
21,Punjab,3614,18,2642,14,1282,658,1940,543,364,234,163,397,1177,912,350,162,512,169,139,63,25,88,925,683,263,184,447
22,Rajasthan,19487,8,9138,4,6041,13448,19489,225,96,65,169,234,229,145,57,131,188,18,9,5,15,20,1784,932,549,1067,1616
23,Sikkim,89,31,46,30,89,82,171,40,25,52,51,103,31,8,32,29,61,20,6,23,12,35,0,0,0,0,0
24,Tamil Nadu,54391,1,10264,2,4388,58373,62761,6388,1205,977,6979,7956,2812,485,595,2446,3041,329,262,39,740,779,0,0,0,0,0
25,Telangana,22127,6,6571,8,2314,21213,23527,103,32,7,79,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Tripura,442,25,163,24,634,5,639,70,28,50,6,56,37,21,42,2,44,3,1,2,0,2,0,0,0,0,0
27,Uttarakhand,840,24,702,21,839,143,982,210,121,135,26,161,80,52,56,1,57,0,0,0,0,0,338,172,311,60,371
28,Uttar Pradesh,17111,9,8970,5,8298,3349,11647,6357,3280,3212,1493,4705,6933,3624,3217,1568,4785,2172,1102,1082,463,1545,9995,5280,4508,2474,6982
29,West Bengal,7173,12,2728,12,5261,1582,6843,546,188,446,127,573,770,400,555,159,714,18,10,10,0,10,4198,2385,3105,752,3857
30,A & N Islands,231,29,17,35,55,177,232,23,2,4,24,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Chandigarh,314,27,97,26,21,279,300,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,D & N Haveli,39,34,25,34,39,2,41,12,9,3,0,3,26,20,16,0,16,0,0,0,0,0,3,0,6,0,6
33,Daman & Diu,63,33,30,32,41,43,84,8,3,3,2,5,5,2,5,0,5,0,0,0,0,0,0,0,0,0,0
